t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
10.4,1.92457137857873,-0.5440818033674412,1.6500000000000001,-0.07296439558955864,-0.1641793669808497,0.03244757062540605,0.9958868202155273,-0.035017129793484925,-0.0825219023407832,0.013167291904199673,0.5117089360670727,1.8100593815532753,0.0,0.14282016320847257,-0.10314657830546378,3.9286127417126684e-05,-1.6479526680140921,0.6737193922289495,0.0,0.14366033295083735,0.1115760663299388,1.585693467113722e-05,0.12405114664548611,0.12455654368955474,0.12520309912999977,0.12470136137854752
10.41,1.9296085345645302,-0.5259381174013973,1.6500000000000001,-0.07154138389792104,-0.16520254894948913,0.03252304329092435,0.9958692325847945,-0.034295637865203545,-0.08302324693829143,0.01324466995491349,0.49517073753341,1.8167264352924848,0.0,0.14425352720768492,-0.10202141911874424,3.9444920473311745e-05,-1.6578541270877156,0.6591641028441533,0.0,0.1430010126306891,0.11345602699550233,1.5901703779436227e-05,0.12405674649716858,0.1245706334531986,0.12521420804669006,0.1247039907146091
10.42,1.9344797244013172,-0.5077284666829346,1.6500000000000001,-0.07010377062328464,-0.16621451909515575,0.03259623249460016,0.9958515839095279,-0.033567073569682665,-0.08351878264503981,0.013322437552602928,0.4785340798486604,1.8232471402482209,0.0,0.14568018346108635,-0.10087745776555374,3.960416149271541e-05,-1.6676375830156351,0.644466342697489,0.0,0.14231872985531052,0.1153363721504222,1.5946527208519218e-05,0.1240624234042973,0.12458480201277888,0.1252252921179816,0.12470659347731734
10.43,1.9391839691073802,-0.4894543226460948,1.6500000000000001,-0.06865161924244371,-0.167215086485702,0.03266714207986791,0.9958338739929048,-0.03283147311500518,-0.08400841506384632,0.013400596249522856,0.4618001534165852,1.8296200748527927,0.0,0.14709990180479113,-0.0997146916757358,3.976385101748213e-05,-1.6773011083589808,0.6296268416592813,0.0,0.14161337797952145,0.11721684559755433,1.5991404817266436e-05,0.1240681782370779,0.12459904908219939,0.12523635057650467,0.12470917005557189
10.44,1.9437203017088482,-0.47111717090853755,1.6500000000000001,-0.06718499585008242,-0.1682040600877316,0.03273577729592949,0.9958161026371275,-0.0320888738855962,-0.08449204981107032,0.013479147602123357,0.4449701679231087,1.8358438249639863,0.0,0.14851245102067678,-0.09853312085360265,3.992398958906074e-05,-1.6868427755876116,0.6146463537742561,0.0,0.14088485282378466,0.11909718864900817,1.603633658529488e-05,0.12407401186579517,0.12461337436421589,0.1252473826548563,0.12471172084949378
10.45,1.9480877674325827,-0.4527185111960137,1.6500000000000001,-0.06570396917938466,-0.16918124879636115,0.03280214481758816,0.9957982696434142,-0.031339314447404405,-0.08496959252999885,0.013558093171053328,0.4280453523358261,1.841916984107486,0.0,0.14991759886126682,-0.09733274790275563,4.008457774918803e-05,-1.6962606573540069,0.5995256573767772,0.0,0.14013305271798754,0.12097714014637703,1.608132227867709e-05,0.12407992516068786,0.12462777755036399,0.12525838758576346,0.12471424627045924
10.46,1.9522854238990515,-0.4342598572644047,1.6500000000000001,-0.06420861062224043,-0.17014646146542098,0.032866252764643625,0.9957803748119916,-0.030582834552951858,-0.08544094890435971,0.013637434521164034,0.4110269549007543,1.847838153720431,0.0,0.15131511207503653,-0.09611357805067511,4.024561603463428e-05,-1.7055528267699274,0.5842655552034647,0.0,0.1393578785407676,0.1228564364782185,1.612636162662273e-05,0.12408591899181003,0.12464225832091982,0.12526936460220137,0.12471674674115922
10.47,1.9563123413151537,-0.4157427368193231,1.6500000000000001,-0.062698994249031,-0.17109950693809384,0.03292811072082727,0.995762417942088,-0.02981947514625053,-0.08590602467196148,0.013717173221512629,0.39391624313630413,1.853605943396087,0.0,0.15270475643208217,-0.09487561917319126,4.040710498172048e-05,-1.7147173576858399,0.5688668745031593,0.0,0.1385592337629915,0.12473481159563649,1.6171454509002203e-05,0.12409199422888699,0.12465681634484742,0.12528031293751557,0.12471922269567257
10.48,1.960167602666973,-0.3971686914332652,1.6500000000000001,-0.06117519682797227,-0.17204019407798896,0.03298772975225571,0.9957443988319256,-0.029049278367583364,-0.08636472563845879,0.013797310845365651,0.3767145038244477,1.8592189711296023,0.0,0.15408629675029636,-0.09361888181876238,4.0569045124814324e-05,-1.7237523249730808,0.5533304671441818,0.0,0.13773702449292186,0.1266119970325108,1.621660072736314e-05,0.1240981517411807,0.12467145127972953,0.12529123182558283,0.12472167457950949
10.49,1.9638503039124244,-0.3785392764602877,1.6500000000000001,-0.05963729784399546,-0.17296833180064825,0.033045122425380956,0.9957263172787122,-0.028272287558146772,-0.08681695769124241,0.013877848970202488,0.35942304299903893,1.8646758635648253,0.0,0.1554594969219406,-0.09234337923254105,4.0731436996267745e-05,-1.732655804808752,0.5376572097188259,0.0,0.13689115951779907,0.12848772192527447,1.6261800201387844e-05,0.12410439239733984,0.12468616277172953,0.12530212050093778,0.12472410284967157
10.5,1.9673595541737734,-0.35985606094822375,1.6500000000000001,-0.058085379517147616,-0.173883729105482,0.033100302824415354,0.9957081730786348,-0.02748854726455354,-0.08726262681345277,0.013958789177718827,0.3420431859312827,1.8699752562421499,0.0,0.15682411994065235,-0.09104912738025689,4.089428112884208e-05,-1.7414258749633205,0.5218480036450578,0.0,0.13602155034797836,0.1303617130302033,1.6307052690296697e-05,0.12411071706527739,0.12470095045551452,0.12531297819892812,0.12472650797469645
10.51,1.9706944759299916,-0.34112062754840294,1.6500000000000001,-0.056519526820488636,-0.17478619510812973,0.033153286568209143,0.9956899660268502,-0.026698103243192564,-0.087701639098116,0.014040133053830067,0.3245762771123016,1.8751157938473648,0.0,0.15817992792890018,-0.08973614497193698,4.105757805007368e-05,-1.7500606150909064,0.5059037752653505,0.0,0.13512811125773322,0.13223369474556768,1.635235792069728e-05,0.12411712661202061,0.12471581395422063,0.12532380415584837,0.12472889043470692
10.52,1.9738542052089254,-0.3223345724228814,1.6500000000000001,-0.05493982749746763,-0.17567553907324474,0.033204090826558876,0.9956716959174791,-0.025901002464444312,-0.08813390076240184,0.014121882188674694,0.3070236802327909,1.8800961304614794,0.0,0.159526682165807,-0.08840445348534554,4.1221328287256026e-05,-1.7585581070222498,0.4898254759426225,0.0,0.13421075932901344,0.1341033891342186,1.6397715848180672e-05,0.12412362190354649,0.12473075287942022,0.125334597609075,0.12473125072147391
10.53,1.9768378917792442,-0.3034995051491736,1.6500000000000001,-0.05334637207875667,-0.17655157044769426,0.03325273433592414,0.9956533625435966,-0.02509729311674924,-0.0885593181620012,0.014204038176617641,0.2893867781597336,1.884914929811487,0.0,0.16086414311548045,-0.08705407718925261,4.138553236703729e-05,-1.7669164350603142,0.4736140821532272,0.0,0.13326941449579716,0.1359705159433476,1.6443126268396446e-05,0.12413020380465936,0.12474576683104388,0.12534535779723327,0.1247335893384492
10.540000000000001,1.9796446993421424,-0.2846170486224589,1.6500000000000001,-0.05173925389852106,-0.1774140988941747,0.0332992374145308,0.9956349656972251,-0.024287024610526592,-0.08897779780562362,0.01428660261625361,0.2716669729101338,1.8895708655220524,0.0,0.16219207045572295,-0.08568504316647858,4.1550190812623955e-05,-1.7751336862785319,0.4572705955769339,0.0,0.13230399958544525,0.13783479262714435,1.6488588905697044e-05,0.12413687317884095,0.1247608553973429,0.12535608396033637,0.12473590680081266
10.55,1.9822738057227602,-0.2656888389552794,1.6500000000000001,-0.05011856911010778,-0.17826293432523468,0.0333436219768382,0.9956165051693263,-0.023470247581942227,-0.08938924636961222,0.01436957711041036,0.2538656856217664,1.8940626213680747,0.0,0.16351022310718935,-0.08429738133670972,4.171530414515123e-05,-1.7832079508216458,0.440796043183871,0.0,0.13131444036143247,0.13969593436989614,1.6534103706132564e-05,0.12414363088808518,0.12477601815486232,0.12536677533991686,0.12473820363553348
10.56,1.9847244030613012,-0.24671652537469305,1.6500000000000001,-0.048484416701129025,-0.17909788693770226,0.03338591154734835,0.9955979807497933,-0.022647013896522083,-0.08979357071267605,0.014452963266151987,0.2359843565208911,1.898388891528112,0.0,0.1648183592629516,-0.08289112447908066,4.1880872886746606e-05,-1.7911373222091482,0.42419147731835977,0.0,0.13030066556794923,0.14155365411001597,1.657967046309744e-05,0.1241504777927644,0.12479125466837222,0.12537743117920325,0.12474048038139458
10.57,1.9869956980038053,-0.22770177011690335,1.6500000000000001,-0.046836898507923184,-0.179918767247509,0.03342613127373484,0.9955793922274422,-0.021817376652610364,-0.09019067789073743,0.014536762694782159,0.21802444488693232,1.9025483808386205,0.0,0.16611623641854834,-0.0814663082545094,4.204689755441318e-05,-1.798919897641267,0.40745797577961573,0.0,0.12926260697109782,0.14340766256524737,1.6625288826697948e-05,0.12415741475147898,0.12480656449083252,0.1253880507232691,0.12474273758902939
