t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
18.470000000000002,1.1364229576158416,1.6457651294773696,1.25,-0.25783503837690447,-0.3901210908353971,1.623707759969405,0.6875819416842157,0.05267423330586918,-0.22378543870583162,0.6887500098284144,-2.576651030838007,1.779212193017302,0.0,0.6318222610654772,-0.3168164641670854,-0.0002900771263757429,-2.5798584485080425,-4.1761221398577355,0.0,0.3222524984074493,0.964395887156963,6.846806274857231e-05,0.13421161471134552,0.1385730923283771,0.14002007670460984,0.13567439940975107
18.480000000000004,1.1105390156735435,1.663340943603216,1.25,-0.2518243131735511,-0.3931410100271347,1.624555626981337,0.6870627273514603,0.05592634650816604,-0.22267518892050037,0.6893713169909529,-2.6020889886492813,1.7372994726442996,0.0,0.6349711159961928,-0.30716097432305733,-0.0002893926869363683,-2.5098702445675243,-4.209460338577412,0.0,0.30752285622635545,0.9665904498532607,6.841967828685735e-05,0.13419622644835352,0.13856760568725496,0.13994810058874468,0.13559251050637092
18.490000000000002,1.084404306774135,1.6804961468119193,1.25,-0.24576806531011805,-0.39607191241696604,1.6253590111890441,0.6865448667079777,0.059155008654242475,-0.2215183623405046,0.6899901782590987,-2.6268255394853814,1.6950594820263198,0.0,0.6379727181900043,-0.2974846551700202,-0.00028870873281000575,-2.4395278344909013,-4.241607209754854,0.0,0.2928036135683987,0.9685621711079895,6.837100097398241e-05,0.13418140842976387,0.13856168326365081,0.13987573569505485,0.13551123878446955
18.500000000000004,1.0580258597110623,1.6972275275232451,1.25,-0.2396677962383226,-0.3989132441778837,1.6261187883802626,0.6860283608558607,0.062359571400109795,-0.22031544028143207,0.6906066020027715,-2.6508572445503686,1.6525041396362157,0.0,0.6408271882675608,-0.28778973090089754,-0.0002880252669168887,-2.3688514621539087,-4.27256089129599,0.0,0.27809808329978813,0.9703119193068765,6.83220310895849e-05,0.13416715113673583,0.13855531945971802,0.13980299138113383,0.1354305896807107
18.510000000000005,1.0314107366350018,1.7135319933850208,1.25,-0.23352503841775782,-0.40166447591755744,1.6268358711117716,0.6855132108599284,0.06553939593084966,-0.21906691259903266,0.6912205965694732,-2.674180867176498,1.6096453808609996,0.0,0.6435346798560001,-0.2780784167838827,-0.00028734229218821405,-2.2978613233330694,-4.302319857916697,0.0,0.2634095535245906,0.9718406107357858,6.827276673587734e-05,0.13415344499818924,0.138548508841354,0.13972987705676793,0.13535056846746527
18.520000000000003,1.0045660310358,1.7294065714252909,1.25,-0.22734135463300909,-0.4043251032739356,1.627511207892099,0.6849994177479664,0.06869385306113812,-0.21777327750736344,0.6918321702842841,-2.696793372316313,1.5664951546464505,0.0,0.6460953793380526,-0.26835291868618183,-0.00028665981158217113,-2.2265775603486473,-4.330882918835225,0.0,0.24874128690697273,0.9731492090310601,6.822321040600432e-05,0.13414028039319692,0.13854124613886837,0.1396564021807871,0.13527118025290186
18.530000000000005,0.9774988657297851,1.7448484081710318,1.25,-0.2211183372378233,-0.4068946474957818,1.6281457822935717,0.6844869825109666,0.07182232333242346,-0.21643504139604813,0.6924413314498604,-2.718691925981489,1.5230654201652214,0.0,0.6485095055941396,-0.2586154326032615,-0.00028597782798009397,-2.1550202567735566,-4.358249215386131,0.0,0.23409652001119552,0.9742387245992884,6.817336408726504e-05,0.13412764765406687,0.1385335262468798,0.13958257625854797,0.1351924299805245
18.540000000000003,0.9502163908529473,1.7598547697336842,1.25,-0.2148576073267971,-0.4093726560064996,1.6287406119941485,0.683975906103367,0.07492419710676185,-0.21505271864670927,0.6930480883464323,-2.7398738946291297,1.4793681435091823,0.0,0.6507773097382765,-0.24886814419419606,-0.00028529634430042583,-2.0832094322091477,-4.384418218557344,0.0,0.2194784626732338,0.9751102140312731,6.812322505059254e-05,0.13411553706932663,0.13852534422417007,0.13950840883943605,0.13511432242883503
18.550000000000004,0.922725781860518,1.7744230418617473,1.25,-0.20856081383532657,-0.4117587029496079,1.6292967477497593,0.6834661894432901,0.07799887465731274,-0.2136268314486327,0.6936524492318031,-2.7603368444961807,1.4354152944067684,0.0,0.6528990748476042,-0.239113228322636,-0.0002846153634790821,-2.0111650371288103,-4.409389726451936,0.0,0.2048902973717015,0.9757647795188701,6.807279586823478e-05,0.13410393888588204,0.13851669529436478,0.1394339095135518,0.13503686221180794
18.560000000000002,0.89503423753346,1.7885507299606846,1.25,-0.20222963256883822,-0.4140523897142388,1.6298152722981314,0.6829578334127793,0.08104576625549297,-0.21215790961372005,0.6942544223413483,-2.780078540882639,1.391218842966072,0.0,0.6548751156857106,-0.22935284860381866,-0.00028393488838306113,-1.9389069477903027,-4.433163861676135,0.0,0.19033517861483107,0.9762035682487665,6.802207652700787e-05,0.1340928433122246,0.13850757484549353,0.1393590879094136,0.13496005377842005
18.570000000000004,0.8671489779923798,1.8022354590804086,1.25,-0.19586576516260523,-0.4162533454390807,1.630297299195401,0.6824508388580365,0.08406429225479667,-0.21064649039079114,0.6948540158880171,-2.79909694738426,1.3467907564444148,0.0,0.6567057784199009,-0.21958915695766068,-0.00028325492194854196,-1.8664549612176808,-4.455741068655226,0.0,0.17581623232272858,0.9764277718015398,6.797106534076058e-05,0.1340822405211297,0.13849797843008146,0.13928395369115482,0.13488390141266648
18.580000000000002,0.8390772427193556,1.8154749738706077,1.25,-0.18947093797372513,-0.41836122749319976,1.6307439715870355,0.681945206589658,0.08705388317128243,-0.20909311827929022,0.6954512380623334,-2.8173902250754495,1.3021429960451,0.0,0.6583914403321651,-0.20982429316778786,-0.0002825754670762459,-1.7938287902536638,-4.4771221108788835,0.0,0.16133655524180335,0.9764386255395759,6.791976663658716e-05,0.13407212065191781,0.13848790176553205,0.13920851655537742,0.13480840923406406
18.590000000000003,0.8108262885882074,1.8282671385041829,1.25,-0.183046900907134,-0.42037572193222905,1.631156460914928,0.6814409373828677,0.09001397976073118,-0.20749834484245766,0.6960460970323975,-2.834956731643049,1.2572875137420891,0.0,0.6599325095247369,-0.20006038444686916,-0.0002818965266158102,-1.7210480586833046,-4.49730806807753,0.0,0.146899214379953,0.9762374079794245,6.786818012236018e-05,0.13406247381375874,0.1384773407333723,0.1391327862290736,0.1347335811971805
18.600000000000005,0.7824033879036338,1.8406099365691027,1.25,-0.17659542617777976,-0.42229654392846677,1.631535965562771,0.680938031977753,0.09294403309248692,-0.20586272852001883,0.69663860094389,-2.8517950204717533,1.2122362491331926,0.0,0.6613294246197642,-0.19029954500819937,-0.0002812181034737987,-1.6481322964296026,-4.516300333331377,0.0,0.13250724643226186,0.9758254401641033,6.781630261659677e-05,0.13405329008828554,0.13846629137923228,0.13905677246681342,0.1346594210918552
18.610000000000003,0.7538158264497633,1.852501470928933,1.25,-0.1701183070113909,-0.4241234381734697,1.6318837094420937,0.6804364910794963,0.09584350461998013,-0.20418683444045246,0.6972287579200743,-2.8679038396818544,1.1670011263225397,0.0,0.6625826544533822,-0.1805438756435871,-0.0002805402005634783,-1.5751009348219653,-4.534100610113692,0.0,0.11816365721104005,0.9752040850402738,6.776413669709602e-05,0.1340445595317889,0.1384547499132243,0.13898048504755406,0.13458593254381793
