t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,tb,mx,my,mz
9.2,0.2648861650590873,0.0,1.9241723903456758,-0.0,-0.03904183301319156,0.0,0.9998094729597709,-0.0,-0.019519676736699767,0.0,-0.4945010445720302,0.0,0.30839175042465705,0.0,0.07147910831074626,0.0,-0.3607021413297579,0.0,-0.5758317665267417,0.0,-0.08637243315410616,0.0,,,,
9.21,0.25992323259829975,0.0,1.9272274471771702,-0.0,-0.038323889381159985,0.0,0.9998164155553206,-0.0,-0.019160772064569485,0.0,-0.4980741180077281,0.0,0.3026127398237721,0.0,0.07210770620246515,0.0,-0.3539044112509216,0.0,-0.5799573875567838,0.0,-0.08871438567699218,0.0,,,,
9.22,0.25492491009896434,0.0,1.9302245089205148,-0.0,-0.03759971736860651,0.0,0.9998232878615003,-0.0,-0.01879875128351292,0.0,-0.5015789717664956,0.0,0.29679286291528606,0.0,0.07272476034721362,0.0,-0.3470583722086875,0.0,-0.584004936383046,0.0,-0.09104319994016306,0.0,,,,
9.23,0.24989188215664687,0.0,1.9331631708253691,-0.0,-0.036869433130392266,0.0,0.9998300854246256,-0.0,-0.018433672444355925,0.0,-0.5050151277566738,0.0,0.29093290315482967,0.0,0.07333012773335128,0.0,-0.3401650247938185,0.0,-0.587973867922285,0.0,-0.09335834311978163,0.0,,,,
9.24,0.24482483809770164,0.0,1.9360430360030398,-0.0,-0.036133154237393196,0.0,0.9998368038346317,-0.0,-0.018065594309301214,0.0,-0.508382117922048,0.0,0.28503364939965975,0.0,0.07392366817976197,0.0,-0.33322537547082604,0.0,-0.5918636469471329,0.0,-0.09565928549626453,0.0,,,,
9.25,0.23972447187862636,0.0,1.9388637154800015,-0.0,-0.035390999647889235,0.0,0.9998434387283996,-0.0,-0.0176945763376542,0.0,-0.5116794842995782,0.0,0.2790958958096637,0.0,0.07450524439692213,0.0,-0.32624043637656863,0.0,-0.5956737481733227,0.0,-0.09794550059658014,0.0,,,,
9.26,0.23459148198485036,0.0,1.9416248282504256,-0.0,-0.03464308967834434,0.0,0.9998499857930527,-0.0,-0.01732067867123873,0.0,-0.5149067790751156,0.0,0.2731204417474928,0.0,0.0750747220476298,0.0,-0.31921122511884853,0.0,-0.5994036563469136,0.0,-0.10021646533775434,0.0,,,,
9.27,0.2294265713289753,0.0,1.944326001327704,-0.0,-0.03388954597358136,0.0,0.9998564407692201,-0.0,-0.01694396211950475,0.0,-0.518063564637105,0.0,0.26710809167782257,0.0,0.07563196980734006,0.0,-0.3121387645750106,0.0,-0.603052866331516,0.0,-0.1024716601714769,0.0,,,,
9.28,0.22423044714848922,0.0,1.9469668697949631,-0.0,-0.03313049147635554,0.0,0.9998627994542634,-0.0,-0.01656448814432961,0.0,-0.521149413628273,0.0,0.26105965506574136,0.0,0.07617685942404964,0.0,-0.3050240826905392,0.0,-0.6066208831955167,0.0,-0.10471056922969049,0.0,,,,
9.29,0.21900382090297382,0.0,1.9495470768545549,-0.0,-0.03236605039633185,0.0,0.999869057705465,-0.0,-0.01618231884451569,0.0,-0.5241639089953027,0.0,0.2549759462742662,0.0,0.07670926577767619,0.0,-0.2978682122776564,0.0,-0.610107222299304,0.0,-0.10693268047105205,0.0,,,,
9.3,0.21374740817082458,0.0,1.9520662738765213,-0.0,-0.031596348178471116,0.0,0.9998752114431735,-0.0,-0.015797516939986763,0.0,-0.527106644036494,0.0,0.24885778446098689,0.0,0.07722906693887469,0.0,-0.29067219081391965,0.0,-0.6135114093824938,0.0,-0.10913748582814356,0.0,,,,
9.31,0.20846192854550494,0.0,1.9545241204460189,-0.0,-0.030821511470831207,0.0,0.9998812566539031,-0.0,-0.015410145755686134,0.0,-0.5299772224474095,0.0,0.24270599347383742,0.0,0.0777361442272361,0.0,-0.28343706024081944,0.0,-0.6168329806511532,0.0,-0.11132448135531609,0.0,,,,
9.32,0.20314810553135387,0.0,1.956920284409698,-0.0,-0.030041668091789396,0.0,0.9998871893933855,-0.0,-0.015020269205179756,0.0,-0.532775258364508,0.0,0.2365214017459954,0.0,0.07823038226881138,0.0,-0.27616386676237703,0.0,-0.6200714828650274,0.0,-0.1134931673770435,0.0,,,,
9.33,0.19780666643896677,0.0,1.9592544419210254,-0.0,-0.02925694699669317,0.0,0.9998930057895687,-0.0,-0.014627951773967827,0.0,-0.535500376406761,0.0,0.23030484218990926,0.0,0.07871166905290518,0.0,-0.2688536606437421,0.0,-0.6232264734247634,0.0,-0.11564304863666221,0.0,,,,
9.34,0.19243834228017115,0.0,1.9615262774845443,-0.0,-0.028467478243947065,0.0,0.9998987020455625,-0.0,-0.014233258502508742,0.0,-0.5381522117152586,0.0,0.22405715209045302,0.0,0.0791798959880837,0.0,-0.26150749600979106,0.0,-0.6262975204591357,0.0,-0.11777363444537267,0.0,,,,
9.35,0.18704386766261538,0.0,1.9637354839990602,-0.0,-0.027673392960543327,0.0,0.9999042744425258,-0.0,-0.013836254968959296,0.0,-0.540730409990799,0.0,0.21777917299720873,0.0,0.07963495795734052,0.0,-0.25412643064372387,0.0,-0.6292842029122715,0.0,-0.11988443883137444,0.0,,,,
9.36,0.18162398068399238,0.0,1.9658817627997454,-0.0,-0.026874823307045693,0.0,0.9999097193424924,-0.0,-0.013437007271635859,0.0,-0.5432346275294647,0.0,0.21147175061587714,0.0,0.08007675337236612,0.0,-0.24671152578566274,0.0,-0.6321861106308756,0.0,-0.12197498068900796,0.0,,,,
9.37,0.1761794228259171,0.0,1.9679648236991545,-0.0,-0.026071902442034927,0.0,0.9999150331911354,-0.0,-0.013035582011200805,0.0,-0.5456645312561851,0.0,0.2051357346988154,0.0,0.08050518422686588,0.0,-0.239263845931249,0.0,-0.6350028444514554,0.0,-0.12404478392777318,0.0,,,,
9.38,0.17071093884747857,0.0,1.9699843850271397,-0.0,-0.025264764486026218,0.0,0.9999202125204627,-0.0,-0.012632046272579429,0.0,-0.548019798756284,0.0,0.19877197893470339,0.0,0.08092015614887198,0.0,-0.23178445863024133,0.0,-0.637734016287546,0.0,-0.12609337762109324,0.0,,,,
9.39,0.1652192766784868,0.0,1.9719401736696585,-0.0,-0.02445354448486884,0.0,0.9999252539514463,-0.0,-0.012226467606612484,0.0,-0.5503001183050149,0.0,0.192381340837337,0.0,0.08132157845199688,0.0,-0.22427443428511346,0.0,-0.6403792492169349,0.0,-0.1281202961546956,0.0,,,,
9.4,0.15970518731243416,0.0,1.973831925106465,-0.0,-0.02363837837263864,0.0,0.9999301541965768,-0.0,-0.011818914011449808,0.0,-0.5525051888950797,0.0,0.18596468163354934,0.0,0.08170936418557367,0.0,-0.2167348459496518,0.0,-0.6429381775688874,0.0,-0.13012507937447357,0.0,,,,
9.41,0.15416942469919154,0.0,1.9756593834476772,-0.0,-0.022819402934034946,0.0,0.9999349100623457,-0.0,-0.011409453913690866,0.0,-0.554634720262136,0.0,0.17952286615026036,0.0,0.08208343018363225,0.0,-0.20916676912755316,0.0,-0.6454104470113713,0.0,-0.13210727273369885,0.0,,,,
9.42,0.1486127456374598,0.0,1.977422301469208,-0.0,-0.02199675576629378,0.0,0.9999395184516492,-0.0,-0.010998156149278255,0.0,-0.5566884329082886,0.0,0.17305676270065312,0.0,0.0824436971126598,0.0,-0.20157128157102244,0.0,-0.6477957146382816,0.0,-0.13406642743945266,0.0,,,,
9.43,0.14303590966699625,0.0,1.9791204406470566,-0.0,-0.021170575240629742,0.0,0.9999439763661133,-0.0,-0.010585089944150488,0.0,-0.5586660581235676,0.0,0.16656724296947872,0.0,0.08279008951809441,0.0,-0.19394946307937033,0.0,-0.6500936490566651,0.0,-0.13600210059813894,0.0,,,,
9.44,0.13743967896063608,0.0,1.980753571190446,-0.0,-0.02034100046321954,0.0,0.9999482809083362,-0.0,-0.010170324894660633,0.0,-0.5605673380053928,0.0,0.16005518189748874,0.0,0.08312253586950313,0.0,-0.18630239529761145,0.0,-0.6523039304739462,0.0,-0.13791385535994954,0.0,,,,
9.45,0.13182481821613012,0.0,1.982321472073802,-0.0,-0.01950817123574036,0.0,0.9999524292840466,-0.0,-0.009753930947767553,0.0,-0.5623920254760235,0.0,0.15352145756499497,0.0,0.08344096860439483,0.0,-0.17863116151506114,0.0,-0.6544262507851508,0.0,-0.13980126106214574,0.0,,,,
9.46,0.1261920945478171,0.0,1.9838239310675634,-0.0,-0.01867222801547735,0.0,0.9999564188041743,-0.0,-0.009335978381007014,0.0,-0.5641398842979943,0.0,0.14696695107455782,0.0,0.08374532417062183,0.0,-0.1709368464639342,0.0,-0.656460313660131,0.0,-0.14166389337102533,0.0,,,,
9.47,0.12054227737815226,0.0,1.9852607447678128,-0.0,-0.017833311875014215,0.0,0.9999602468868338,-0.0,-0.008916537782249788,0.0,-0.5658106890875372,0.0,0.14039254643280114,0.0,0.0840355430673232,0.0,-0.1632205361179419,0.0,-0.6584058346307902,0.0,-0.14350133442244228,0.0,,,,
9.48,0.11487613832911164,0.0,1.9866317186247242,-0.0,-0.01699156446152184,0.0,0.9999639110592144,-0.0,-0.00849568002925441,0.0,-0.5674042253259897,0.0,0.13379913043135655,0.0,0.08431156988436475,0.0,-0.15548331749088973,0.0,-0.6602625411783074,0.0,-0.14531317296074514,0.0,,,,
9.49,0.10919445111349241,0.0,1.987936666969814,-0.0,-0.016147127955660288,0.0,0.9999674089593789,-0.0,-0.008073476269022389,0.0,-0.5689202893691889,0.0,0.12718759252693357,0.0,0.08457335334023262,0.0,-0.14772627843527564,0.0,-0.662030172820362,0.0,-0.14709900447600674,0.0,,,,
9.5,0.10349799142612937,0.0,1.9891754130419872,-0.0,-0.015300145030109714,0.0,0.9999707383379658,-0.0,-0.007649997896963802,0.0,-0.5703586884548508,0.0,0.12055882472051954,0.0,0.08482084631833797,0.0,-0.139950507440887,0.0,-0.6637084811983583,0.0,-0.14885843133941273,0.0,,,,
9.51,0.09778753683504743,0.0,1.990347789012374,-0.0,-0.014450758807746352,0.0,0.9999738970597964,-0.0,-0.007225316535881597,0.0,-0.571719240707937,0.0,0.11391372143570527,0.0,0.08505400590169215,0.0,-0.1321570934333987,0.0,-0.6652972301646498,0.0,-0.15059106293668187,0.0,,,,
9.52,0.09206386667257088,0.0,1.9914536360079436,-0.0,-0.01359911281948009,0.0,0.999976883105381,-0.0,-0.006799504014782971,0.0,-0.5730017751440054,0.0,0.10725317939613999,0.0,0.08527279340591315,0.0,-0.12434712557297056,0.0,-0.6667961958697638,0.0,-0.1522965157993894,0.0,,,,
9.53,0.08632776192640923,0.0,1.9924928041338872,-0.0,-0.012745350961770513,0.0,0.9999796945723264,-0.0,-0.006372632347526512,0.0,-0.5742061316705493,0.0,0.10057809750211327,0.0,0.08547717441052578,0.0,-0.11652169305284577,0.0,-0.6682051668496255,0.0,-0.1539744137340696,0.0,,,,
9.54,0.08058000513073899,0.0,1.9934651524947655,-0.0,-0.011889617453838482,0.0,0.9999823296766405,-0.0,-0.00594477371131382,0.0,-0.5753321610863209,0.0,0.09388937670626535,0.0,0.08566711878851961,0.0,-0.10868188489794739,0.0,-0.6695239441127828,0.0,-0.15562438794897135,0.0,,,,
9.55,0.07482138025730362,0.0,1.994370549214406,-0.0,-0.011032056794591115,0.0,0.9999847867539341,-0.0,-0.00551600042503475,0.0,-0.5763797250786399,0.0,0.08718791988842389,0.0,0.08584260073413065,0.0,-0.10082878976347653,0.0,-0.6707523412276305,0.0,-0.15724607717834668,0.0,,,,
9.56,0.06905267260654901,0.0,1.9952088714545446,-0.0,-0.010172813719278015,0.0,0.9999870642605181,-0.0,-0.005086384927475415,0.0,-0.5773486962186912,0.0,0.08047463172957037,0.0,0.0860035987888143,0.0,-0.09296349573351048,0.0,-0.6718901844096339,0.0,-0.15883912780415213,0.0,,,,
9.57,0.06327466869882432,0.0,1.9959800054324592,-0.0,-0.009312033155942374,0.0,0.9999891607743944,-0.0,-0.004655999755420993,0.0,-0.5782389579548006,0.0,0.07375041858672023,0.0,0.08615009585480692,0.0,-0.08508709012011458,0.0,-0.6729373125980123,0.0,-0.16040319994755842,0.0,,,,
9.58,0.05748815616562372,0.0,1.996683846436077,-0.0,-0.008449860182711702,0.0,0.9999910749961376,-0.0,-0.00422491752217591,0.0,-0.579050404603759,0.0,0.06701618835813726,0.0,0.08628207887698305,0.0,-0.07720065927186137,0.0,-0.6738935775713549,0.0,-0.16193803126219133,0.0,,,,
9.59,0.05169392364099529,0.0,1.9973202988402652,-0.0,-0.007586439991282965,0.0,0.9999928057496585,-0.0,-0.0037932108991790368,0.0,-0.5797829413404322,0.0,0.06027285036553567,0.0,0.08639953814157506,0.0,-0.06930528844228141,0.0,-0.6747588438981066,0.0,-0.16344341124364695,0.0,,,,
9.6,0.04589276065298806,0.0,1.997889276119413,-0.0,-0.006721917854488076,0.0,0.9999943519828614,-0.0,-0.0033609525996571143,0.0,-0.5804364841863583,0.0,0.05352131521920142,0.0,0.08650246713059406,0.0,-0.061402061696245375,0.0,-0.6755329889418301,0.0,-0.1649191362987733,0.0,,,,
9.61,0.04008545751525337,0.0,1.9983907008599313,-0.0,-0.005856439094328059,0.0,0.9999957127682052,-0.0,-0.0029282153625108517,0.0,-0.5810109599974149,0.0,0.046762494692023183,0.0,0.08659086252955335,0.0,-0.05349206182207506,0.0,-0.676215902811863,0.0,-0.1663650090631226,0.0,,,,
9.62,0.03427280521876675,0.0,1.9988245047712436,-0.0,-0.004990149049900349,0.0,0.9999968873031723,-0.0,-0.002495071936146118,0.0,-0.5815063064506126,0.0,0.039997301592231534,0.0,0.08666472423472794,0.0,-0.04557637024331656,0.0,-0.6768074883239161,0.0,-0.16778083847548206,0.0,,,,
9.63,0.028455595323686265,0.0,1.9991906286955028,-0.0,-0.004123193045261896,0.0,0.9999978749106416,-0.0,-0.002061595062271797,0.0,-0.5819224720300057,0.0,0.03322664963653224,0.0,0.08672405535873103,0.0,-0.03765606693051328,0.0,-0.6773076609606731,0.0,-0.16916643984901894,0.0,,,,
9.64,0.022634619851356265,0.0,1.999489022616044,-0.0,-0.0032557163572449047,0.0,0.9999986750391677,-0.0,-0.0016278574596729463,0.0,-0.5822594160117215,0.0,0.026451453323633557,0.0,0.08676886223440289,0.0,-0.02973223031297903,0.0,-0.6777163488323891,0.0,-0.17052163493898317,0.0,,,,
9.65,0.01681067117646512,0.0,1.9997196456645745,-0.0,-0.0023878641832421697,0.0,0.999999287263165,-0.0,-0.0011939318079679444,0.0,-0.5825171084481066,0.0,0.01967262780816749,0.0,0.08679915441701366,0.0,-0.021805937190571126,0.0,-0.6780334926374898,0.0,-0.17184625200693016,0.0,,,,
9.66,0.010984541919366035,0.0,1.9998824661271035,-0.0,-0.001519781608978781,0.0,0.9999997112829966,-0.0,-0.0007598907313582571,0.0,-0.5826955301509912,0.0,0.01289108877500511,0.0,0.0868149446847786,0.0,-0.01387826264546349,0.0,-0.6782590456231705,0.0,-0.17314012588141173,0.0,,,,
9.67,0.005157024838569481,0.0,1.9999774614486174,-0.0,-0.0006516135762871226,0.0,0.9999999469249689,-0.0,-0.0003258067823794928,0.0,-0.5827946726740715,0.0,0.0061077523139658335,0.0,0.0868162490376902,0.0,-0.005950279953919793,0.0,-0.678392973545995,0.0,-0.1744030980151044,0.0,,,,
9.68,-0.0006710872765835763,0.0,2.0000046182365057,0.0,0.00021649514909806894,0.0,0.9999999941412313,0.0,0.00010824757433763531,0.0,-0.5828145382944089,0.0,-0.0006764652050792047,0.0,0.08680308669466949,0.0,0.0019769395019334918,0.0,-0.678435254632495,0.0,-0.17563501653833066,0.0,,,,
9.69,-0.006499001713059269,0.0,1.999963932262737,0.0,0.0010844000097077597,0.0,0.9999998530095809,0.0,0.0005421999782878109,0.0,-0.5827551399930477,0.0,-0.007460647256709849,0.0,0.08677548008904387,0.0,0.009902326322333913,0.0,-0.6783858795397683,0.0,-0.17683573630894844,0.0,,,,
9.7,-0.012325925941070015,0.0,1.9998554084647957,0.0,0.0019519566884531286,0.0,0.9999995237331736,0.0,0.0009759781892845232,0.0,-0.5826165014347507,0.0,-0.01424387728406562,0.0,0.0867334548623576,0.0,0.017824813178109966,0.0,-0.6782448513160783,0.0,-0.17800511895857393,0.0,,,,
9.71,-0.01815106772080667,0.0,1.9996790609453758,0.0,0.002819021140669863,0.0,0.9999990066401405,0.0,0.0014095101036178267,0.0,-0.5823986569468518,0.0,-0.02102523882256027,0.0,0.08667703985652464,0.0,0.02574333489890783,0.0,-0.6780121853614531,0.0,-0.1791430329351162,0.0,,,,
9.72,-0.023973635208954888,0.0,1.9994349129708417,0.0,0.0036854496260757684,0.0,0.9999983021831121,0.0,0.0018427237701679972,0.0,-0.5821016514972264,0.0,-0.027803815623202555,0.0,0.08660626710433397,0.0,0.0336568285614184,0.0,-0.6776879093882844,0.0,-0.18024935354159966,0.0,,,,
9.73,-0.0297928370649867,0.0,1.9991229969684574,0.0,0.004551098740625221,0.0,0.9999974109386488,0.0,0.002275547406466629,0.0,-0.5817255406713805,0.0,-0.034578691775522724,0.0,0.08652117181832022,0.0,0.04156423357760404,0.0,-0.6772720633819258,0.0,-0.1813239629712586,0.0,,,,
9.74,-0.035607882557218556,0.0,1.9987433545223885,0.0,0.005415825448244217,0.0,0.9999963336065797,0.0,0.0027079094146968347,0.0,-0.5812703906486563,0.0,-0.04134895183010527,0.0,0.08642179237801269,0.0,0.04946449178292546,0.0,-0.6767646995612928,0.0,-0.18236675033888775,0.0,,,,
9.75,-0.04141798166862706,0.0,1.99829603636848,0.0,0.006279487112429846,0.0,0.9999950710092497,0.0,0.003139738397624246,0.0,-0.5807362781775565,0.0,-0.0481136809207274,0.0,0.08630817031557801,0.0,0.057356547524568466,0.0,-0.6761658823394607,0.0,-0.18337761170843717,0.0,,,,
9.76,-0.04722234520241354,0.0,1.9977811023878165,0.0,0.007141941527698284,0.0,0.9999936240906773,0.0,0.0035709631744506544,0.0,-0.5801232905501854,0.0,-0.0548719648861038,0.0,0.08618035029987446,0.0,0.06523934774967095,0.0,-0.6754756882842646,0.0,-0.18435645011684942,0.0,,,,
9.77,-0.05302018488730856,0.0,1.9971986215990642,0.0,0.008003046950865407,0.0,0.9999919939156207,0.0,0.00400151279658214,0.0,-0.5794315255758089,0.0,-0.06162289039123703,0.0,0.08603838011893464,0.0,0.07311184209354961,0.0,-0.6746942060788976,0.0,-0.18530317559412904,0.0,,,,
9.78,-0.058810713482607635,0.0,1.9965486721496037,0.0,0.008862662132144468,0.0,0.9999901816685581,0.0,0.004431316563303696,0.0,-0.5786610915535311,0.0,-0.06836554504837428,0.0,0.08588231066089738,0.0,0.08097298296792683,0.0,-0.6738215364825099,0.0,-0.18621770517965014,0.0,,,,
9.79,-0.06459314488292944,0.0,1.9958313413054551,0.0,0.009720646346045456,0.0,0.9999881886525783,0.0,0.004860304037352467,0.0,-0.5778121072440889,0.0,-0.07509901753756984,0.0,0.08571219589341,0.0,0.08882172564915745,0.0,-0.6728577922908076,0.0,-0.1870999629347033,0.0,,,,
9.8,-0.07036669422268729,0.0,1.9950467254399975,0.0,0.010576859422060892,0.0,0.9999860162881866,0.0,0.005288405060381791,0.0,-0.5768847018407656,0.0,-0.08182239772685365,0.0,0.08552809284152335,0.0,0.09665702836645564,0.0,-0.6718030982966522,0.0,-0.18794987995129056,0.0,,,,
9.81,-0.0761305779802656,0.0,1.9941949300214905,0.0,0.011431161775123157,0.0,0.999983666112025,0.0,0.005715549768308382,0.0,-0.5758790149394196,0.0,-0.08853477679200586,0.0,0.08533006156410378,0.0,0.10447785239012165,0.0,-0.670657591250659,0.0,-0.18876739435717932,0.0,,,,
9.82,-0.08188401408189203,0.0,1.9932760695993998,0.0,0.012283414435818601,0.0,0.9999811397755097,0.0,0.0061416686065351245,0.0,-0.574795196507634,0.0,-0.09523524733593738,0.0,0.08511816512878743,0.0,0.1122831621197687,0.0,-0.6694214198217961,0.0,-0.18955245131723067,0.0,,,,
9.83,-0.08762622200519679,0.0,1.9922902677895307,0.0,0.013133479080344063,0.0,0.9999784390433853,0.0,0.006566692345042084,0.0,-0.5736334068529811,0.0,-0.10192290350767644,0.0,0.08489246958550375,0.0,0.12007192517254965,0.0,-0.6680947445579835,0.0,-0.1903050030310195,0.0,,,,
9.84,-0.09335642288245036,0.0,1.9912376572579726,0.0,0.013981218060191567,0.0,0.9999755657921999,0.0,0.006990552093338473,0.0,-0.5723938165904067,0.0,-0.10859684112096099,0.0,0.08465304393859596,0.0,0.12784311247138402,0.0,-0.6666777378466915,0.0,-0.19102500872677014,0.0,,,,
9.85,-0.09907383960347022,0.0,1.990118379703862,0.0,0.014826494431547276,0.0,0.9999725220086998,0.0,0.00741317931526842,0.0,-0.5710766066087305,0.0,-0.11525615777243733,0.0,0.08439996011756733,0.0,0.13559569833318447,0.0,-0.6651705838755404,0.0,-0.19171243465163007,0.0,,,,
